token,frequency,alias_of,search_query,lat,lon,place_id,formatted_address,geocode_source,geocode_confidence,verified,note,dup_coord_group,dup_coord_count,dup_coord_flag
ครัวกลาง Maguro,7,,ครัวกลาง Maguro,13.6725327,100.65338930000001,ChIJbZkkz-RfHTERUEOSfTkhvn0,5/2 เฉลิมพระเกียรติรัชกาลที่ 9 ซอย 6 แขวง หนองบอน เขต ประเวศ กรุงเทพมหานคร แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250,places,medium,,,D034,2,"same coords, same place_id"
Central นครสวรรค์,7,,Central นครสวรรค์,15.702726700000001,100.1173233,ChIJU0UKZGxP4DARY82QHxhrVa4,"699, ถ. พหลโยธิน ตำบลปากน้ำโพ อำเภอเมืองนครสวรรค์ นครสวรรค์ 60000",places,high,,,,,
สุรเชษฐ์ (ราชบุรี),7,,ราชบุรี สุรเชษฐ์,13.534829199999999,99.8191458,ChIJjWMICQAp4zAR9Wx4qchTwzA,"65/62 ถนน คฑาธร ต.หน้าเมือง, อำเภอเมืองราชบุรี ราชบุรี 70000",places,low,,,,,
ชบาบางกอก บางกระดี่ 135,6,,ชบาบางกอก บางกระดี่ 135,13.978329899999999,100.5582419,ChIJ67p2yGqB4jAReURAbkO7Ovg,135 ถนนสวนอุตสาหกรรมบางกะดี ตำบล บางกะดี อำเภอเมืองปทุมธานี ปทุมธานี 12000,places,high,,,,,
เซ็ปเป้ คลอง 13,6,เซ็ปเป้ คลอง13,,,,,,,,,,,,
สภากาชาดไทย เสาวภา,6,,สภากาชาดไทย เสาวภา,13.732353699999999,100.53270239999999,ChIJMbJCVyqf4jAR6Trq73lS4-k,1871 ถ. พระรามที่ 4 แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330,places,high,,,,,
บริษัท อินเตอร์เซีย จำกัด,6,อินเตอร์เซีย,,,,,,,,,,,,
สยาม ฟูดส์ แอนด์ เบฟเวอร์เรจ ปี2025,6,,สยาม ฟูดส์ แอนด์ เบฟเวอร์เรจ ปี2025,13.5798905,100.45958499999999,ChIJIfDbgzel4jAR4hi-vs5yGcE,ประชาอุทิศ 90 ตำบล บ้านคลองสวน อำเภอพระสมุทรเจดีย์ สมุทรปราการ 10290,places,high,,,D208,2,"same coords, same place_id"
บ.เอ็นเอส ซีฟูดส์ จำกัด,6,,บ.เอ็นเอส ซีฟูดส์ จำกัด,13.5481304,100.35111599999999,ChIJNVJIH_TH4jARYRbGEHTFWgk,"12, 3 พันท้ายนรสิงห์ อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000",places,high,,,D133,4,"same coords, same place_id"
ฟาร์มเฮ้าส์ โรงงานลาดกระบัง 1,6,ฟาร์มเฮ้าส์ โรงงานลาดกระบัง,,,,,,,,,,,,
นิ่มซีเส็ง สะพานขาว,6,,นิ่มซีเส็ง สะพานขาว,13.7578006,100.515956,ChIJG_SZFkGZ4jARSIl90uWzpfk,"325, 78 ถนน ลูกหลวง แขวงสี่แยกมหานาค เขตดุสิต กรุงเทพมหานคร 10300",places,high,,,D187,2,"same coords, same place_id"
สยาม ฟูดส์ เซอร์วิส,6,,สยาม ฟูดส์ เซอร์วิส,13.713977499999999,100.57644669999999,ChIJI1CClqCf4jAR7ACxr6jVYB4,2439 ถ. ทางรถไฟสายเก่าปากน้ำ แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110,places,high,,,D209,3,"same coords, same place_id"
CPF สมุทรสาคร,6,,CPF สมุทรสาคร,13.6029924,100.34647059999999,ChIJrfSCt0K54jAR625apvBcWBo,J83W+5HX ซ.หมื่นทรัพบ์ 4 ตำบล บางน้ำจืด อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000,places,high,,,,,
ไทยซันฟู้ดส์ ปี2025,6,,ไทยซันฟู้ดส์ ปี2025,13.7128372,100.65460379999999,ChIJkZTIXFtgHTERDyAKtPwcvS0,แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250 ประเทศไทย,places,high,,,D207,3,"same coords, same place_id"
คิงมารีนฟู้ดส์,6,,คิงมารีนฟู้ดส์,13.8648266,100.6323937,ChIJm1fM2z5jHTERmdupSiW00Yo,"24 ซอยสุขาภิบาล 5 แยก 5, ท่าแร้ง, เขตบางเขน กรุงเทพมหานคร 10220",places,high,,,D203,3,"same coords, same place_id"
วันแบงค็อก,6,,วันแบงค็อก,13.7270531,100.54725450000001,ChIJo-KudiSf4jARuHpmM504kW4,ถ. วิทยุ แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,places,high,,,D204,3,"same coords, same place_id"
บริษัท บี ฟู้ดส์ โปรดักส์ อินเตอร์เนชั่นแนล จำกัด,6,,บริษัท บี ฟู้ดส์ โปรดักส์ อินเตอร์เนชั่นแนล จำกัด,13.8682138,100.56061659999999,ChIJS-ZL-syc4jARPNtRKFLFSno,5 ซอย แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210,places,high,,,,,
Greating Fortune Container Service,6,,Greating Fortune Container Service,13.692972999999999,100.72553459999999,ChIJz1ek90RnHTERixF_NfdFZJo,108 หมู่ 14 ซอย กิ่งแก้ว 33 ตำบลราชาเทวะ อำเภอบางพลี สมุทรปราการ 10540,places,high,,,D046,6,"same coords, same place_id"
สก็อต อินดัสทรี,6,,สก็อต อินดัสทรี,13.9773438,100.3899948,ChIJ83bB09SO4jAR3aP8DP7rkuY,52/8 หมู่ที่ 8 ถนน บางบัวทอง - สุพรรณบุรี ตำบล ละหาร อำเภอบางบัวทอง นนทบุรี 11110,places,high,,,D176,2,"same coords, same place_id"
S&P กม.23,6,,S&P กม.23,13.5946965,100.8075788,ChIJE7zJpFFDHTERIqHLANzLEL0,86/1 หมู่4 ทางคู่ขนาน ถนนบางนา-ตราด ตำบลบางเสาธง อำเภอบางเสาธง กรุงเทพมหานคร 10570,places,high,,,,,
CPF FOOD มหาชัย,6,,CPF FOOD มหาชัย,13.5116547,100.1578188,ChIJTWQDo1rP4jAR5fUv-eAILCw,G565+M48 ตำบล บางโทรัด อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000,places,high,,,D157,3,"same coords, same place_id"
ท่าเรือ สหไทย,6,,ท่าเรือ สหไทย,13.6552381,100.5437766,ChIJzcjud5qh4jAREwO1EPXB0MM,51/1 หมู่ 3 ถ. ปู่เจ้าสมิงพราย ตำบล บางหญ้าแพรก อำเภอพระประแดง สมุทรปราการ 10130,places,high,,,D079,2,"same coords, same place_id"
ซีบอร์น,6,,ซีบอร์น,13.7020231,100.6051811,ChIJ2-6NpPSf4jARpbQK9XIRay8,32 อาคารเพิ่มภูมิ ชั้น 2 32 ซอย สุขุมวิท 87 แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260,places,high,,,,,
Food Tech Fatory,6,,Food Tech Fatory,14.248649499999999,100.5989013,ChIJM2j5m-x34jARhyRK1aJfBzg,6HXX+FH2 ซอย นิคมอุตสาหกรรมไฮเทค ตำบล บ้านเลน อำเภอบางปะอิน จังหวัดพระนครศรีอยุธยา 13160,places,medium,,,,,
HAVI Logistics (Pre - Cool),6,,Pre - Cool HAVI Logistics,13.5709863,100.7744519,ChIJlXeFDVVDHTER8ANMemLr_Ag,989 ตำบลบางเสาธง อำเภอบางเสาธง สมุทรปราการ 10570,places,high,,,D020,7,"same coords, same place_id"
มีนบุรี,6,,มีนบุรี,13.815481799999999,100.73526659999999,ChIJ15GKhlRkHTERIE7iXbIAAQM,เขตมีนบุรี กรุงเทพมหานคร 10510,places,high,,,,,
YUM LINFOX วังน้อย,6,,YUM LINFOX วังน้อย,14.190187499999999,100.6544375,ChIJWzSZiaiHHTERcn6TVABkGjA,ตำบล พยอม อำเภอวังน้อย จังหวัดพระนครศรีอยุธยา 13170,places,high,,,D146,3,"same coords, same place_id"
Bangkok Inter Food อ้อมน้อย นครปฐม,6,,Bangkok Inter Food อ้อมน้อย นครปฐม,13.697388799999999,100.24614369999999,ChIJgSPMGh3A4jAR-M9cb7xMDR4,"12, ตำบล บ้านใหม่ อำเภอสามพราน นครปฐม 73110",places,low,,,D136,3,"same coords, same place_id"
โมเดิร์นฟาร์มา (สุขสวัสดิ์),6,โมเดิร์นฟาร์มา (สุขสวัสดิ์),,,,,,,,,,,,
บางกะปิ,6,,บางกะปิ,13.762758499999999,100.6455972,ChIJzayLqB9iHTER4E3iXbIAAQM,บางกะปิ กรุงเทพมหานคร 10240,places,high,,,,,
Kewpie,6,KEWPIE,Kewpie,13.6734111,100.5399509,ChIJY0UTT-6h4jARkJx-heDcOwQ,989 อาคาร Kingbridge Tower ชั้น 26 ถ. พระรามที่ 3 แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร 10120,places,low,,,,,
เก้าใหม่,6,,เก้าใหม่,13.8562456,100.1485671,ChIJBZ51ZODv4jARQw9Z5qvA4ZU,89 ถนน หมู่ 2 ตำบล แหลมบัว อำเภอนครชัยศรี นครปฐม 73120,places,high,,,,,
บจก.พา - สยาม Pa Siam Intertrade,6,,บจก.พา - สยาม Pa Siam Intertrade,13.6801911,100.5282835,ChIJIRNn9AKi4jARavoa8RjJFDk,"619,621 623 ถ. พระรามที่ 3 แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร 10120",places,high,,,D221,2,"same coords, same place_id"
เซปเป้ คลอง 13,6,เซ็ปเป้ คลอง13,,,,,,,,,,,,
ฟู้ดสตาร์ นครปฐม,6,,ฟู้ดสตาร์ นครปฐม,13.666874,100.0862066,ChIJlf0uX_rp4jARsOwXyAEsMUM,"58 ม.6, ถ.พระประโทน-บ้านแพ้ว, ต.ตลาดจินดา อ.สามพราน จ.นครปฐม , 73110 ตำบล คลองจินดา อำเภอสามพราน นครปฐม 73110",places,high,,,D216,2,"same coords, same place_id"
RDC เชียงใหม่,6,,RDC เชียงใหม่,18.6731937,99.05021599999999,ChIJw3vI1GQu2jARl0x5D6_0sEU,M3F2+73G ถ. ซุปเปอร์ไฮเวย์ เชียงใหม่-ลำปาง ตำบล ยางเนิ้ง อำเภอ สารภี เชียงใหม่ 50140,places,high,,,,,
คลังโมบายโลจิสติกส์,6,,คลังโมบายโลจิสติกส์,13.5708881,100.7637069,ChIJXxDdewBbHTERhM14oEPmd7o,"444/14 ,444/15 ตำบล บางปลา อำเภอบางพลี สมุทรปราการ 10540",places,high,,,D063,3,"same coords, same place_id"
HAVI (Bangna),6,Havi (Bangna),,,,,,,,,,,,
นที,6,,นที,13.808245300000001,100.4500432,ChIJPxG84pCb4jARcN7J5DU94xM,69 ตำบล มหาสวัสดิ์ อำเภอบางกรวย นนทบุรี 11130,places,high,,,,,
รพ.ลำลูกกา,6,,รพ.ลำลูกกา,13.9568604,100.85765719999999,ChIJQ8btM852HTERacdmxuQ4Gb0,46 ลำไทร อำเภอลำลูกกา ปทุมธานี 12150,places,high,,,,,
ย่างเนยรัชดา,6,,ย่างเนยรัชดา,13.7630774,100.5653114,ChIJK4ukaY6e4jARlcxTABJW-qw,332 85 ซ. รัชดาภิเษก 3 แยก 4 แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400,places,medium,,,,,
ซีพีแรม (ลาดหลุมแก้ว),6,,ลาดหลุมแก้ว ซีพีแรม,14.0449781,100.4304878,ChIJowe7UQ6I4jARWCuzyN0aEOY,177 หมู่ 4 ถนน ปทุมธานี - ลาดหลุมแก้ว ระแหง อำเภอลาดหลุมแก้ว ปทุมธานี 12140,places,medium,,,,,
GOLFMAHACHAI SEAFOOD,6,,GOLFMAHACHAI SEAFOOD,13.523290999999999,100.285663,ChIJKdu2bsW54jAR4cEltCkUyfc,G7FP+G9 ตำบล บางหญ้าแพรก อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000,places,low,,,D167,3,"same coords, same place_id"
NextDay/Gourmet Design Village Bangna,6,,NextDay/Gourmet Design Village Bangna,13.645967599999999,100.69065450000001,ChIJS3I0cO9fHTERxH5BAolxkvw,15 888 ตำบล บางพลีใหญ่ อำเภอบางพลี สมุทรปราการ 10540,places,low,,,,,
NextDay/Gourmet เดอะมอลล์บางกะปิ,6,,NextDay/Gourmet เดอะมอลล์บางกะปิ,13.7667714,100.642831,ChIJn3RFKY1hHTERVwYNUGo79bA,"3522, อาคาร เดอะมอลล์บางกะปิ ถ. ลาดพร้าว แขวงคลองจั่น บางกะปิ กรุงเทพมหานคร 10240",places,medium,,,,,
โมเดิร์น ฟาร์มา,6,,โมเดิร์น ฟาร์มา,13.6039182,100.5563809,ChIJoe9PltSm4jARJR_W-xmwYAc,หมู่ที่ 1 197/1 ถ. สุขสวัสดิ์ ตำบล ปากคลองบางปลากด อำเภอพระสมุทรเจดีย์ สมุทรปราการ 10290,places,high,,,D190,3,"same coords, same place_id"
Havi,6,HAVI,,,,,,,,,,,,
คลังรามอินทรา - LKB,6,,คลังรามอินทรา - LKB,13.7348611,100.7669706,ChIJ_-O7ymhnHTERz7j2vYdXtFo,33/4 ซ. ไอซีดี 7 แขวงคลองสามประเวศ เขตลาดกระบัง กรุงเทพมหานคร 10520,places,high,,,D011,5,"same coords, same place_id"
บจก. ยูนิ - เพรสซิเดนท์ (นครปฐม),6,,นครปฐม บจก. ยูนิ - เพรสซิเดนท์,13.751757,100.08698899999999,ChIJ62b0qtjn4jARWVF6Z9cJpZM,"502 ม.3, ถ.พระประโทน-บ้านแพ้ว, ต.ดอนยายหอม อ.เมืองนครปฐม จ.นครปฐม , 73000 ตำบล ดอนยายหอม อำเภอเมืองนครปฐม นครปฐม 73000",places,high,,,D127,3,"same coords, same place_id"
Maya Chiang Mai,6,,Maya Chiang Mai,18.801892799999997,98.96756119999999,ChIJC1o2yWE62jARfjKPh-dUjiQ,55/5 ถ. ห้วยแก้ว ตำบลช้างเผือก อำเภอเมืองเชียงใหม่ เชียงใหม่ 50300,places,high,,,D118,4,"same coords, same place_id"
Thai Excel,6,,Thai Excel,13.669695599999999,100.71103199999999,ChIJC5wmbKFeHTER598-txJj3zQ,MP96+RF7 92 ซอย กิ่งแก้ว 21 ตำบล บางพลีใหญ่ อำเภอบางพลี สมุทรปราการ 10540,places,high,,,D160,3,"same coords, same place_id"
เซ้าอีสต์ นาดี,6,,เซ้าอีสต์ นาดี,13.581549899999999,100.2869296,ChIJn3EWY_u44jARJOaIMBmO-Cg,"1, Nadee, Baanplaiklongkru Road, ตำบล นาดี Muang, สมุทรสาคร 74000",places,high,,,,,
บริษัท เทคนิคเพ็ท (ประเทศไทย),6,,ประเทศไทย บริษัท เทคนิคเพ็ท,13.52596,100.173329,ChIJ5ddkKDPH4jARp6YyDZdfaUs,99 ม.2 ต ตำบล ชัยมงคล อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000,places,medium,,,D220,2,"same coords, same place_id"
Paris Bangkok Bakery,6,,Paris Bangkok Bakery,13.7192367,100.5770659,ChIJ-2qDfqyf4jARNFVQmngIp7g,38 ซ. แสงชัย แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110,places,high,,,,,
CTI Cold Chain พระราม 4,6,,CTI Cold Chain พระราม 4,13.7161494,100.5661145,ChIJZwFYF3Kf4jAR255AaOndc-I,ถ. เกษมราษฎร์ แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,places,high,,,D218,2,"same coords, same place_id"
TUF/OKN,6,,TUF/OKN,13.6756505,100.318282,ChIJVSTneji-4jARcU14dkewf8Q,M8G9+787 สค.4001 ตำบล สวนหลวง อำเภอกระทุ่มแบน สมุทรสาคร 74110,places,low,,,,,
โรงเบียร์พระราม3,6,,โรงเบียร์พระราม3,13.696891100000002,100.54579679999999,ChIJezBpdluf4jARn7eWl315crw,462/61 ถ. พระรามที่ 3 แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120,places,high,,,,,
TUF โรงกุ้ง /OKS โอคินอส,6,TUFโรงกุ้ง/OKSโอคินอส,,,,,,,,,,,,
KCTC BKK,6,,KCTC BKK,13.6462468,100.78365,ChIJ__dgVzldHTERQ8V8zZXOri4,"74, 12, TAMBON SISA CHORAKHE YAI AMPHER, อำเภอบางพลี สมุทรปราการ 10540",places,medium,,,D155,2,"same coords, same place_id"
LCB TIPS,6,,LCB TIPS,13.0606902,100.8909625,ChIJEYVWBbK5AjERftlBIqUehwQ,112/2 ตำบลทุ่งสุขลา อำเภอศรีราชา ชลบุรี 20230,places,medium,,,,,
LKB - ICD6,6,,LKB - ICD6,13.732908799999999,100.76727129999999,ChIJc5uuJyJnHTER5y2QmCJeR6Y,PQM8+5W6 แขวงคลองสามประเวศ เขตลาดกระบัง กรุงเทพมหานคร 10520,places,low,,,D062,3,"same coords, same place_id"
แฟชั่น ไอซ์แลน (FI),6,แฟชั่น ไอซ์แลนด์,,,,,,,,,,,,
ลาดกระบังประตู 2,6,,ลาดกระบังประตู 2,13.741135,100.7620529,ChIJ029WkVdnHTER-Fz8kxSd9do,33/4 ซอย ไอซีดี แขวงคลองสามประเวศ เขตลาดกระบัง กรุงเทพมหานคร 10520,places,high,,,D021,3,"same coords, same place_id"
PACT,6,,PACT,,,,,not_found,none,,,,,
TUF5 (กาหลง),6,,กาหลง TUF5,13.4903345,100.1388168,ChIJG8IctBHP4jARu2SlEIWhmaA,กาหลง ตำบล กาหลง อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000 ประเทศไทย,geocoding,low,,,,,
บางกอกมีท,6,,บางกอกมีท,13.7356006,100.5642373,ChIJtV4hgQCf4jARkIcwC5t1ZDs,3/2 สุขุมวิท 27 ซอยสุขุมวิท 27 ถนนสุขุมวิท แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,places,high,,,,,
บ้านเลขที่ 461/9 - 10 ซอยจันทน์ 40/1 (บ้านหลังรองสุดท้ายซ้ายมือรั้วสีดำ),5,,บ้านหลังรองสุดท้ายซ้ายมือรั้วสีดำ บ้านเลขที่ 461/9 - 10 ซอยจันทน์ 40/1,,,,,not_found,none,,,,,
เชสเตอร์ฟู้ด ตะหลิว โลตัส รังสิต,5,,เชสเตอร์ฟู้ด ตะหลิว โลตัส รังสิต,13.9936213,100.6127729,ChIJn9wP2TeB4jARjCdX6TClCo0,XJV7+C4J ตำบล ประชาธิปัตย์ อำเภอธัญบุรี ปทุมธานี 12130,places,high,,,D230,2,"same coords, same place_id"
เจอเนอร์รัล ฟรุ๊ต,5,,เจอเนอร์รัล ฟรุ๊ต,14.002196,100.4463133,ChIJ-38kg1iH4jARc-TsdHWiMNY,"Unnamed Road, 2C2W+VGG ตำบล คลองพระอุดม อำเภอลาดหลุมแก้ว ปทุมธานี 12140",places,high,,,D212,2,"same coords, same place_id"
ปั้นเงิน โกลเบิลฟีช,5,,ปั้นเงิน โกลเบิลฟีช,13.570420599999999,100.3084528,ChIJQyLnDwO54jARH7YMeFG8rBI,99 ตำบล โคกขาม อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000,places,high,,,,,
เจพีเค Free Zone,5,,เจพีเค Free Zone,16.681675,98.535473,ChIJddI0UgCf3TARNvV0T3g7KUg,MGJP+M5 ตำบล ท่าสายลวด อำเภอแม่สอด ตาก 63110,places,high,,,,,
EBISU SHOTEN Nana,5,,EBISU SHOTEN Nana,13.7402985,100.5560417,ChIJpQ96fqSf4jARYiA_QNWAek4,137/6-7 ซ. สุขุมวิท 11 แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,places,high,,,,,
ภัตตาคารอ๊อดดาวเงิน จ. ขอนแก่น,5,,ภัตตาคารอ๊อดดาวเงิน จ. ขอนแก่น,16.5362159,102.1063811,ChIJCfUWKZgfIjERGhKi4odqMEs,14/5 ม.10 ถ.ชุมแพ-ภูเขียว ต ตำบล ไชยสอ อำเภอชุมแพ ขอนแก่น 40130,places,high,,,,,
เซ็นทรัล ลำปาง,5,,เซ็นทรัล ลำปาง,18.2818458,99.494576,ChIJcT4N0oZr2TARikLEVpA9cAk,319 ถนน ซุปเปอร์ไฮเวย์สาย ลำปาง - งาว อำเภอเมืองลำปาง ลำปาง 52100,places,high,,,,,
ไทยโยโกเร สำโรง,5,ไทยโยโกเรสำโรง,,,,,,,,,,,,
สยามย่านมิตรทาวน์,5,สามย่าน มิตรทาวน์,,,,,,,,,,,,
มหาชัย,5,,มหาชัย,13.545377199999999,100.27573079999999,ChIJ0TE-U1m44jARBYpQKBBGVcg,ตำบลมหาชัย อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000,places,high,,,D226,2,"same coords, same place_id"
พรีม่าแฮม ปราจีนบุรี,5,,พรีม่าแฮม ปราจีนบุรี,13.903526300000001,101.54833099999999,ChIJywq0v8fwHDERZWXUpHutytM,"392 หมู่ที่ 7 นิคมอุตสาหกรรม 304, ตำบล ท่าตูม อำเภอศรีมหาโพธิ ปราจีนบุรี 25140",places,high,,,,,
Jagota,5,,Jagota,13.715325499999999,100.58453639999999,ChIJ0d7X2KSf4jAR4Byr72uyztc,"65, 42 Tower Building, G Floor, สุขุมวิท 42 Phrakanong, Klongtoey, กรุงเทพมหานคร 10110",places,low,,,,,
ครัวกลางตี๋น้อย,5,,ครัวกลางตี๋น้อย,17.456967499999998,101.7288818,ChIJY2agSABHITERDSfQV5uduNg,FP4H+QHJ ตำบล นาอาน อำเภอเมืองเลย เลย 42000,places,medium,,,,,
ออฟฟิต ซูชิ,5,,ออฟฟิต ซูชิ,13.6512777,100.6419379,ChIJk_-TcLan4jAR1Yro49rLKDA,618 ตำบล สำโรงเหนือ อำเภอเมืองสมุทรปราการ สมุทรปราการ 10270,places,low,,,,,
Tharikan Foods,5,,Tharikan Foods,13.8103201,100.6293118,ChIJpXNTpW9iHTERhn3PFxG-Jh4,33 ซอย โพธิ์แก้ว 3 แยก 19 แขวงคลองจั่น บางกะปิ กรุงเทพมหานคร 10240,places,low,,,,,
JFC,5,,JFC,13.6631474,100.64745119999999,ChIJzV1rzydfHTERzYjiBnl86BU,Tiew Hong Bangna Bldg 1780 ถ. เทพรัตน แขวงบางนาใต้ เขตบางนา กรุงเทพมหานคร 10260,places,low,,,D139,3,"same coords, same place_id"
ไฮติเหลา,5,,ไฮติเหลา,13.747601900000001,100.5398275,ChIJvYewgHaf4jAR8Go2o49LXSw,4/1-4 ห้องเลขที่ บี726 ชั้น 7 เซ็นทรัลเวิล์ด ซอย วิภาวดี 2 แยก 4-4 แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330,places,medium,,,,,
นครพนม,5,,นครพนม,17.4115756,104.5655273,ChIJv6Zfy56LOzERNINp--IRNtQ,นครพนม,places,high,,,,,
Thai Coconut,5,,Thai Coconut,13.9044064,100.5125779,ChIJMUtKKpKE4jARG9NDkX5EYuA,ซอย แจ้งวัฒนะ-ปากเกร็ด 20 ตำบล ปากเกร็ด อำเภอปากเกร็ด นนทบุรี 11120,places,high,,,,,
COSIAM 2,5,,COSIAM 2,13.6661076,100.6398212,ChIJdz_ZN1lnHTERD_WJdBlCeuQ,1672 ถ. เทพรัตน แขวงบางนาใต้ เขตบางนา กรุงเทพมหานคร 10260,places,low,,,D172,2,"same coords, same place_id"
DC Makro Mahachai (2025),5,,2025 DC Makro Mahachai,13.5003258,100.1285835,ChIJo0kG6grP4jARQQOh1ErWZ9E,"64/2 64/2, ตำบล กาหลง อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000",manual,high,y,"was geocoded to the wrong ""DC Makro Mahachai"" candidate (a Makro/Lotus mall ~1km from origin) instead of the real distribution center; corrected 2026-09-23, see sum.md",D012,9,"same coords, same place_id"
TSM ลำลูกกา,5,,TSM ลำลูกกา,13.958632999999999,100.874028,ChIJA3uIJjF7HTERhFFUs--3uPw,29 ครอง 12 3 ไทร ลำไทร อำเภอลำลูกกา ปทุมธานี 12150,places,medium,,,,,
B&P,5,,B&P,16.059179099999998,102.0822693,ChIJm7KBbdCsGDERCFhszjR7idU,99 ตำบล เก่าย่าดี อำเภอ แก้งคร้อ ชัยภูมิ 36150,places,low,,,,,
สงขลา,5,,สงขลา,6.8899921,100.52961150000002,ChIJQSQJr9zVTDAREo4d7Hg3myU,สงขลา,places,high,,,,,
บริษัท เซ็นท์แดรี่ จำกัด,5,,บริษัท เซ็นท์แดรี่ จำกัด,13.9489776,100.4047035,ChIJ2emjQ12J4jAR40e8Ep7c850,333 35 หมู่ 9 ตำบล ละหาร อำเภอบางบัวทอง นนทบุรี 11110,places,high,,,,,
ขอนแก่น บริวเวอรี่,5,,ขอนแก่น บริวเวอรี่,16.3340853,102.8239666,ChIJz8E7ZQyIIjERWU_UYaK7fN4,333 หมู่ 19 ถนน 208 (ขอนแก่น-มหาสารคาม ต.ท่าพระ อำเภอเมืองขอนแก่น ขอนแก่น 40260,places,high,,,,,
ไมเนอร์,5,,ไมเนอร์,13.7209624,100.55854289999999,ChIJzzSirbyf4jARRNYBQzZ5paM,"88 The Parq Building, 11th Fl ถ. รัชดาภิเษก แขวงคลองเตย Klongtoey กรุงเทพมหานคร 10110",places,high,,,D225,2,"same coords, same place_id"
SCT (PLUG),5,,PLUG SCT,13.7025475,100.6368903,ChIJTfGHiTVgHTERandI51LqvWo,888 ซ. ดาราฉาย แขวงอ่อนนุช เขตสวนหลวง กรุงเทพมหานคร 10250,places,medium,,,,,
เจเนอรัลฟู้ด ปทุมธานี,5,,เจเนอรัลฟู้ด ปทุมธานี,15.057524899999997,101.7070035,ChIJY-j9vde_HjERG4HSYYhySrk,89 ม.3 ต ตำบล วังโรงใหญ่ อำเภอสีคิ้ว นครราชสีมา 30140,places,medium,,,D213,2,"same coords, same place_id"
CP แปดริ้ว โรงหมู,5,,CP แปดริ้ว โรงหมู,13.7624274,100.9907109,ChIJNXU-31MTHTERNoyzkd14vrE,QX6R+X7G ถ. สุวินทวงศ์ ตำบล หนามแดง อำเภอเมืองฉะเชิงเทรา ฉะเชิงเทรา 24000,places,medium,,,,,
แชมป์เอช บางคอแหลม,5,,แชมป์เอช บางคอแหลม,13.694864899999999,100.517592,ChIJDRDZ0qeY4jAR1lHU9q2Jf7o,58 ซอย เจริญราษฎร์ 7 แยก 29-1 แขวงบางโคล่ เขตบางคอแหลม กรุงเทพมหานคร 10120,places,high,,,,,
AEP (AMERICAN - EUROPEAN) ลาดพร้าว,5,,AMERICAN - EUROPEAN AEP ลาดพร้าว,13.8094738,100.605263,ChIJs22LaZqd4jARU_KYAUwvk0I,58 Soi Naknivas 37 Naknivas Rd 54 นาคนิวาส 37 แขวงลาดพร้าว ลาดพร้าว กรุงเทพมหานคร 10230,places,high,,,D186,3,"same coords, same place_id"
สยามมิตร,5,,สยามมิตร,13.740193099999999,100.50607749999999,ChIJPXhEQR-Z4jARIWoA9BjAJ7g,510 ซอย อาเนี้ยเก็ง ถ. ราชวงศ์ แขวงจักรวรรดิ์ เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100,places,high,,,,,
ชายสี่,5,,ชายสี่,14.111585,100.731363,ChIJbTwtrN6DHTERNfPGEm06EXs,7/7 หมู่ 8 ตำบล คลองหก อำเภอคลองหลวง ปทุมธานี 12120,places,high,,,D166,2,"same coords, same place_id"
Havi (Bangna) (Pre - Cool),5,Havi (Bangna) (Pre - cool - 18),,,,,,,,,,,,
พัฒนาโฟเซ่น,5,,พัฒนาโฟเซ่น,13.522094099999999,100.17469439999999,ChIJ26FX3QHG4jARMQLqEuLs9so,24 ตำบล ชัยมงคล อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000,places,high,,,,,
เดอะเซอร์เคิล ราชพฤกษ์,5,,เดอะเซอร์เคิล ราชพฤกษ์,13.7677705,100.4429521,ChIJoXQU6-OZ4jARcyO0cxLEnOA,39 ถ. ราชพฤกษ์ แขวงบางระมาด เขตตลิ่งชัน กรุงเทพมหานคร 10170,places,high,,,,,
